gender,age_range,city_name,state_name,country_name,user_count,subject,description,link,image_link,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10
male,25-34,San Diego,California,United States,7,Joyner Lucas & Chris Brown - Stranger Things,Pretty chill banger ,https://www.youtube.com/watch?v=E-u9uo0laA8,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/c4b60595-3c58-4fea-8589-7d0b33b50174_1630477196453_1a0e48c4_24c8_442c_a1af_a5e358fee048.jpg,Music,I'm Not Racist,Fire,Elevate,Banger,XXL,Things,T,Stranger Things,Stranger
male,25-34,San Diego,California,United States,1,Succession Connor's Wedding (TV Episode 2023) - IMDb,Incredible episode of an incredible show,https://www.imdb.com/title/tt21151974/?ref_=tt_rt,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/e12d0028-411d-403f-a367-791c5d13ebfd_1681154417202_d163aabe_5931_4ff0_b7f1_45058d23b9b0.jpg,wow,well written,tv shows,suprising,sucession,social commentary,so good,sad,must watch,intense
male,25-34,San Diego,California,United States,3,Lady Gaga & Bradley Cooper performing “Shallow” at the 2019 Oscars,what a moment this was. gave me chills ,https://m.youtube.com/watch?feature=youtu.be&v=xVx-zvCjUZU,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/efb4198a-9515-4d33-a21d-e32f822e473d_1630478009214_e0f5fd01_b4c3_440e_90a6_88d21e06ea72.jpg,love,Oscars,Live music,Feels,Performance,Bradley cooper,YouTube,video phone,video,upload
female,55-64,San Diego,California,United States,1,OB Farmers Market | Ocean Beach San Diego CA,"Local farmer’s market every Wednesday! Support the local farmers, food stands and artisans ",https://oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/637b4298-dfad-425e-bd5f-7d3b02eab934_1630475267303_dada6d8a_9826_49fb_84d1_777c3ae9f02a.jpg,things to do,support local,ocean beach,OB,jewelry,fun things to do,Beach,street food,market,Local
male,25-34,San Diego,California,United States,1,"Bandsintown | Live Music, Concert Tickets, Tour Dates & Live Streams",The best website for finding concerts near you. Found out about some of my favorite shows using this website.,https://www.bandsintown.com/,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/9b5e9e61-f207-4cbc-bc94-cdf942d33858_1630476366847_22e6869a_5fa3_461a_9425_cab7e105e73f.jpg,singers,shows,music,festivals,concerts,bands,,,,
female,18-24,San Diego,California,United States,1,How To Dry Orange Slices for Easy Christmas Decorating - Red Ted ...,Been seeing this cute and affordable decorating idea with dried oranges. Gotta try it!,https://www.redtedart.com/how-to-dry-orange-slice-orangenscheiben-trocknen/,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/b988c108-2718-4827-8e5d-cdf23d65cde4_1630476974871_8b170d66_53ba_4ff7_bde7_e31903d0dea0.jpg,decorating,affordable,oranges,holidays,dried fruit,decor,Christmas decorating,christmas,,
male,25-34,San Diego,California,United States,1,XXXTENTACION- Xxxanax,Fan made music video of xxxtentacion verse over Dragon Ball Super scene. Certified banger.,https://www.youtube.com/watch?v=KSKeJT_aHWk,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/f0bfa48c-14d1-4e30-a192-76ce57bdafc2_1630478029683_a5436c77_7429_4d70_94a0_e7129ce03a6b.jpg,XXXTENTACION,Xxxanax,super,music,lit,dragon ball z,dragon,dbz,banger,ball
female,25-34,San Diego,California,United States,3,How to Paint Kitchen Cabinets from Dark to White,,https://youtu.be/svJfrtErnIE,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/2a967e08-fe48-4858-abed-0319c7b48efc_1630474178660_03c1ef9e_79f6_4725_9997_cb661c3ffeb8.jpg,improvement,Cabinets,white kitchen cabine,white kitchen,White,rustoleum cabinet transformations,renovations,renovation,Paint,kitchen transformations
male,25-34,San Diego,California,United States,1,It's a Wonderful Life (1946),A classic reminder to always be thankful for what you have,http://www.imdb.com/title/tt0038650/,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/6b715c7b-ea41-4ef7-ac73-90fe09047c97_1630475425154_10c24c7d_cd3a_453d_8633_af815d088356.jpg,Wonderful,Life,It's,1946,,,,,,
female,25-34,San Diego,California,United States,4,White Chicks ,The best comedy of all time,https://www.youtube.com/watch?v=p6V25aqQblM,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/e57678ce-ad8d-4ef2-b575-c168b61b5045_1630477818244_128fd59c_4452_4234_884b_dd9d9ceee6e4.jpg,Funny,movie,White chicks,White,Violence,Throwback,TheAJful,Slapstick humor,Slapstick comedy,Slapstick
male,25-34,San Diego,California,United States,3,FIFA 18 - Soccer Video Game - EA SPORTS Official Site,By far my favorite sports game - even if you don't like soccer... which I didn't,https://www.easports.com/fifa,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/98c3a474-60a9-435a-be21-999b331f1a75_1630476313387_633da531_9cd5_4c7d_a363_bdc86609a060.jpg,Video,SPORTS,Soccer,Site,Game,fifa easports football soccer,FIFA,EA,18,
male,25-34,San Diego,California,United States,2,Foreignrap.com,"Really cool site. Exposes you to international music by using a MTV music video/radio style. My recommended countries are Nigeria, China, S. Korea",http://www.foreignrap.com,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/7f03c798-ca86-43e7-88f5-a1db5ec2c717_1630475814053_643dd6ff_9037_4e05_aff7_1451f88149a7.png,website,rap,music,international,foreign,,,,,
female,18-24,Decorah,Iowa,United States,1,"The Telling, Re-Telling, and Never-Telling - ethics and responsibility in music journalism",An essay that looks at the way we condone the actions of musicians based on their power as artists in society. A must read for any music writer or lover.,https://dadastrain.substack.com/p/the-telling-re-telling-and-neve,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/2cb09def-69ea-4fa8-b407-304aafba4a24_1630474222092_acfec3ad_d0c8_4f5e_a1c4_c04b4671c58e.jpg,Responsibility,Music,Journalism,Ethics,Essay,Appropriation,,,,
male,25-34,Cathedral City,California,United States,1,Nas - Get Down,Smooooooth. Storytelling done right,https://youtu.be/goRv0_9SKGo,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/7fefa62d-2057-4442-bd77-823eb665a5eb_1630475837729_6974e9a4_53d7_4cf7_96ad_3175d7749ff7.jpg,smooth,old school,flow,storytelling,rap,Nas,hip hop,90s,Son,music
female,18-24,San Diego,California,United States,1,Kings of Leon - Closer (HQ),Such an emotional song. Early Kings of Leon >>>,https://www.youtube.com/watch?v=eg3F4zpOdK8,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/232df953-7ad1-4acb-a860-b6f3dde7b4fc_1630474025133_3872096d_5561_4b7e_867c_8265e7c28b08.jpg,powerful,Rock,emotional,Alternative,Top,sexy,Popular,Petraglia,Music,Mus
female,55-64,Ridgecrest,California,United States,1,Murray’s Saloon in Big Bear Lake,Best Ahi Tuna in Big Bear for only $12,https://murrayssaloon.com/,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/94f4c179-5b87-4899-9585-64032dd81817_1630476237148_a662fa05_c4b8_4f2f_a8a6_583163be1ae0.jpg,vacation,things to do,saloon,restuarant,local insight,food,drinks,big bear,beer,bar
male,25-34,San Marcos,California,United States,1,Lakers Sneaker Cam,Kuz's Kobe's looking nice,https://youtu.be/vEt2a4159Qs,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/795e2406-4f23-48c4-b536-72c921bfd26e_1630475704188_e29d89aa_08ba_4755_bee2_7e8f44ac907c.jpg,Sneaker,Kuzmania,Nba,Lakers,BBB,Basketball,Sneakers,Showtime,Shoes,Players
male,25-34,San Diego,California,United States,1,Age of Easy Money (full documentary) | FRONTLINE,Incredible breakdown of post Financial crisis economic decisions and effects.,https://www.youtube.com/watch?v=EpMLAQbSYAw,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/e69c561d-69a4-47e7-912b-2eda56ba2b02_1679437108961_5b9afbcb_6a5c_4567_ae04_d0d667baaa29.jpg,youtube,pbs,must watch,investing,insightful,financial crisis,educational,economics,debt,crypto
male,25-34,San Diego,California,United States,1,ALDI Grocery Stores - Quality Food. Everyday Low Prices.,,https://www.aldi.us/,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/8739e0cf-78a1-4105-8ee5-e89524e46d8d_1630475984681_97bdef73_25bf_4aa0_bfd1_ff3c5ab1bb16.jpg,,,,,,,,,,
male,18-24,San Diego,California,United States,2,I Made My Shed the Top Rated Restaurant On TripAdvisor,Hilarious and extremely informative.,https://www.vice.com/en_uk/article/434gqw/i-made-my-shed-the-top-rated-restaurant-on-tripadvisor,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/0d8d6f15-fb03-4a0a-9446-db1d79b29505_1630473610672_35158370_7528_4813_bb26_d0a55d487895.jpg,yelp,video,Vice,tv,TripAdvisor,trip advisor,travel,Top,the shed at dulwich,Shed
male,18-24,Palo Alto,California,United States,1,Angels,,https://soundcloud.com/thegreatkhalid/angels,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/660dc7b7-8e60-4418-be33-4fdbfbd76ed1_1630475317182_8ea7c6a1_9269_4150_a8ca_644e4744eb27.jpg,tracks,soundcloud,sound,rap,music,Hip hop,chill,Angels,,
male,25-34,San Diego,California,United States,4,Chris Dudley Throws Ball at Shaq After Getting Dunked On,Yooo this dunk is nasty,https://youtu.be/AbJlEKI4-Co,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/30b62ac5-02d1-480f-84c7-189328d3da86_1630474305655_5181cc2b_be89_40d0_a926_bc8c6e00936f.jpg,monster dunk,Basketball,Shaq,fight,Old school,Mad,Best Dunks,Shaq attack,Nba,Throws
female,25-34,San Diego,California,United States,1,Men's Rip Stop Vintage Windbreaker Jacket - Goodfellow & Co™ Green,Solid deal around $30,https://www.target.com/p/men-s-rip-stop-vintage-windbreaker-jacket-goodfellow-co-green/-/A-78361596?preselect=77617640&clkid=a50f671dN78e711ea8e1042010a246f1e&lnm=81938&afid=Skimbit%20Ltd.&ref=tgt_adv_xasd0002#lnk=sametab,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/e0af86a8-193e-4916-8616-22dc9fef6753_1630477727322_7bdb97ee_b2a6_4422_bdbb_adc11e5d92e7.jpg,windbreaker,affordable,mens fashion,style,fashion,bargain,Vintage,target,Stop,Rip
female,18-24,San Diego,California,United States,1,"Joe Rogan on People Who Choose to Not Workout, ""It's Silly""","If you see a problem, go fix it",https://youtu.be/d-babgLc9JQ,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/21bea315-dc3a-4945-8c0e-b611ce548adf_1630474001870_a102ff1d_80bd_4a4a_931e_5b18031b330e.jpg,life,keeping it real,inspiration,advice,Joe Rogan,UFC,podcast,JRE Clips,Joe Rogan Experience,fitness
male,25-34,San Diego,California,United States,1,The Fundamentals of Caring | Netflix Official Site,"A very touching and uplifting film about recovery, forgiveness, and friendship. Totally a feel good movie with some smart humor",https://www.netflix.com/title/80097349,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/5036cdf0-915e-435b-af68-f5ea6ab0aa26_1630474906562_536b8d8a_6f15_4668_a8f9_ade89c59dbbe.jpg,watch TV,Uplifting,Touching,stream tv,stream movies,Site,Recovery,Originals,Original,no download
